CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;NM_EDITORA;NM_CIDADE;NM_PAIS;DS_IDIOMA;NR_PAGINAS;DS_ISBN_ISSN;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
33002010225P1;TECNOLOGIA EM QUIMICA E BIOQUIMICA;USP;UNIVERSIDADE DE SAO PAULO;2017;21957134;2;10;CONGRESSO;NRNBERGMESSE BRASIL;-;-;PORTUGUES;-;-;OUTRO;-;-;0
33002010225P1;TECNOLOGIA EM QUIMICA E BIOQUIMICA;USP;UNIVERSIDADE DE SAO PAULO;2017;21957163;2;10;MINISTROU PALESTRA;AGILENT TECHNOLOGIES;-;BRASIL;PORTUGUES;-;-;OUTRO;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957272;2;10;APRESENTACAO DO N. 42 DO PERIODICO MATRAGA;UERJ;RIO;-;PORTUGUES;-;-;MEIO DIGITAL;HTTP://WWW.E-PUBLICACOES.UERJ.BR/INDEX.PHP/MATRAGA/INDEX;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957641;2;10;ORELHA DE LIVRO;EDUFF;NITEROI;BRASIL;PORTUGUES;-;ISBN: 978-85-;IMPRESSO;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957769;2;10;ORGANIZACAO DE PERIODICO;UFF;NITEROI;BRASIL;PORTUGUES;959;23584114;MEIO DIGITAL;HTTP://WWW.GRAGOATA.UFF.BR/INDEX.PHP/GRAGOATA/ISSUE/VIEW/32/SHOWTOC;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957770;2;10;APRESENTACAO DE PERIODICO;UFF;NITEROI;BRASIL;PORTUGUES;959;23584114;MEIO DIGITAL;HTTP://WWW.GRAGOATA.UFF.BR/INDEX.PHP/GRAGOATA/ISSUE/VIEW/32/SHOWTOC;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957792;2;10;APRESENTACAO DE LIVRO;7 LETRAS;-;-;PORTUGUES;-;9788542105926;IMPRESSO;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957807;2;10;APRESENTACAO DE LIVRO;ATELIE EDITORIAL;COTIA, SP;BRASIL;PORTUGUES;255;9788574807652;IMPRESSO;-;-;0
15025012070P0;LETRAS;UNIFESSPA;UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA;2017;21959931;2;10;REVISAO DE TRADUCAO;LUMME EDITOR;SAO PAULO;BRASIL;PORTUGUES;170;8582342438;IMPRESSO;-;-;0
33002029007P0;PATOLOGIA;USP/RP;UNIVERSIDADE DE SAO PAULO ( RIBEIRAO PRETO );2017;21960331;2;10;COLABORACAO EM ARTIGO CIENTIFICO INTERNACIONAL;DOI: 10.1183/13993003.00936-2017.;"EUR RESPIR J. 2017 - 31;50(2)";INGLATERRA;INGLES;3;-;MEIO DIGITAL;-;-;0
30001013040P7;BIODIVERSIDADE TROPICAL;UFES;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;2017;21961077;2;10;MATERIAL DIDATICO;FIELD MUSEUM;CHICAGO;BRASIL;PORTUGUES;8;-;MEIO DIGITAL;HTTP://FIELDGUIDES.FIELDMUSEUM.ORG/GUIDES/GUIDE/798;-;0
32010010042P4;ADMINISTRACAO PUBLICA;UFVJM;UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;2017;21962227;2;10;LIVRO;NO PRELO;DIAMANTINA;BRASIL;PORTUGUES;182;9788561330552;VARIOS;WWW.UFVJM.EDU.BR;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21979860;2;10;EDITORIA;LAPLAGE - UFSCAR;SOROCABA;BRASIL;PORTUGUES;8;2446-6220;MEIO DIGITAL;HTTP://WWW.LAPLAGEEMREVISTA.UFSCAR.BR/INDEX.PHP/LPG/ARTICLE/VIEW/398/582;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21979866;2;10;ARTIGO PUBLICADO EM BLOG;ARTIGO PUBLICADO EM BLOG;-;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;HTTP://BRICANDOCPALAVRAS.BLOGSPOT.COM.BR/;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21979998;2;10;ARTIGO PUBLICADO NO BLOG CONFESSO QUE LI: QUASE-ANALISE LITERARIA;ARTIGO PUBLICADO NO BLOG CONFESSO QUE LI: QUASE-ANALISE LITERARIA;-;BRASIL;PORTUGUES;01;-;MEIO DIGITAL;HTTP//QUELICONFESSO.BLOGSPOT.COM.BR;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980021;2;10;EDITORIA;UNIVERSIDADE FEDERAL DE S. CARLOS;SOROCABA;BRASIL;PORTUGUES;143;2446-6220;MEIO DIGITAL;HTTP://WWW.LAPLAGEEMREVISTA.UFSCAR.BR/INDEX.PHP/LPG/ISSUE/VIEW/14;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980028;2;10;EDUCACAO E DIVULGACAO;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980038;2;10;EDUCACAO E DIVULGACAO;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980042;2;10;EDUCACAO E DIVULGACAO;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980081;2;10;EDUCACAO E DIVULGACAO;WWW.CASEIRICES.COM.BR;-;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;WWW.CASEIRICES.COM.BR;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980154;2;10;EDUCACAO E DIVULGACAO;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980159;2;10;ARTIGO PUBLICADO NO BLOG CONFESSO QUE LI: QUASE-ANALISE LITERARIA;HTTP://WWW.BOQNEWS.COM/COLUNAS/O-CRUEL-REALISMO-DO-CAIS-DO-PORTO-OS-VIRA-LATAS-DA-MADRUGADA/;-;BRASIL;PORTUGUES;01;-;MEIO DIGITAL;HTTP://WWW.BOQNEWS.COM/COLUNAS/O-CRUEL-REALISMO-DO-CAIS-DO-PORTO-OS-VIRA-LATAS-DA-MADRUGADA/;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980161;2;10;ARTIGO PUBLICADO EM BLOG BAIA DA LUSOFONIA, LISBOA;HTTP://BAIADALUSOFONIA.BLOGSPOT.COM.BR/2017/08/O-CRUEL-REALISMO-DO-CAIS-DO-PORTO-OS.HTML;-;BRASIL;PORTUGUES;01;-;MEIO DIGITAL;HTTP://BAIADALUSOFONIA.BLOGSPOT.COM.BR/2017/08/O-CRUEL-REALISMO-DO-CAIS-DO-PORTO-OS.HTML;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980162;2;10;ARTIGO PUBLICADO EM BLOG DAS LETRAS - LITERATURA, LISBOA;HTTP://WWW.DASLETRAS.COM/CURTAS-E-EVENTOS/O-CRUEL-REALISMO-DO-CAIS-DO-PORTO-OS-VIRA-LATAS-DA-MADRUGADA-DE-ADELTO-GONCALVES-POR-MAURICIO-SILVA/;-;BRASIL;PORTUGUES;01;-;MEIO DIGITAL;HTTP://WWW.DASLETRAS.COM/CURTAS-E-EVENTOS/O-CRUEL-REALISMO-DO-CAIS-DO-PORTO-OS-VIRA-LATAS-DA-MADRUGADA-DE-ADELTO-GONCALVES-POR-MAURICIO-SILVA/;-;0
33092010002P2;EDUCACAO;UNINOVE;UNIVERSIDADE NOVE DE JULHO;2017;21980172;2;10;EDUCACAO E DIVULGACAO;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;BLOGANAHADDAD.BLOGSPOT.COM.BR;-;0
