CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;DS_FORMACAO_INSTRUMENTAL;NM_EDITORA;NM_CIDADE;NM_PAIS;NR_PAGINAS;NR_CATALOGO;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099317;2;28;ORQUESTRAL;ORQUESTRA SINFONICA, BANDA POPULAR E SOLISTA;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;17;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO PARA CONCERTO DA SERIE ENCONTROS DAS AGUAS, DOS CORPOS ARTISTICOS DO GOVERNO DO AMAZONAS.;0
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099318;2;28;ORQUESTRAL;ORQUESTRA SINFONICA, BANDA POPULAR E SOLISTA;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;38;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO PARA CONCERTO DA SERIE ENCONTROS DAS AGUAS, DOS CORPOS ARTISTICOS DO GOVERNO DO AMAZONAS.;0
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099319;2;28;ORQUESTRAL;ORQUESTRA SINFONICA, BANDA POPULAR E VOZ;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;20;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO PARA CONCERTO DA SERIE ENCONTROS DAS AGUAS, DOS CORPOS ARTISTICOS DO GOVERNO DO AMAZONAS.;0
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099320;2;28;ORQUESTRAL;ORQUESTRA SINFONICA, BANDA POPULAR E SOLISTA;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;-;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO PARA CONCERTO DA SERIE ENCONTROS DAS AGUAS, DOS CORPOS ARTISTICOS DO GOVERNO DO AMAZONAS.;0
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099321;2;28;ORQUESTRAL;ORQUESTRA SINFONICA, BANDA POPULAR E SOLISTA;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;-;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO PARA CONCERTO DA SERIE ENCONTROS DAS AGUAS, DOS CORPOS ARTISTICOS DO GOVERNO DO AMAZONAS.;0
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099322;2;28;ORQUESTRAL;ORQUESTRA SINFONICA, BANDA POPULAR, CORO E SOLISTA;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;9;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO PARA CONCERTO DA SERIE ENCONTROS DAS AGUAS, DOS CORPOS ARTISTICOS DO GOVERNO DO AMAZONAS.;0
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099324;2;28;ORQUESTRAL;ORQUESTRA SINFONICA, BANDA POPULAR E SOLISTA;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;51;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO PARA CONCERTO DA SERIE ENCONTROS DAS AGUAS, DOS CORPOS ARTISTICOS DO GOVERNO DO AMAZONAS.;0
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099325;2;28;ORQUESTRAL;ORQUESTRA SINFONICA, BANDA POPULAR, CORO E SOLISTA;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;52;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO PARA CONCERTO DA SERIE ENCONTROS DAS AGUAS, DOS CORPOS ARTISTICOS DO GOVERNO DO AMAZONAS.;0
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099326;2;28;ORQUESTRAL;ORQUESTRA SINFONICA, BANDA POPULAR, CORO E SOLISTA;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;14;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO PARA CONCERTO DA SERIE ENCONTROS DAS AGUAS, DOS CORPOS ARTISTICOS DO GOVERNO DO AMAZONAS.;0
33004013066P3;MUSICA;UNESP-REITORIA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO (SEDE);2017;22099328;2;28;ORQUESTRAL;ARRANJO DE 4 CANCOES SERGIPANAS: FORRO DO BOM E ASSIM, SERGIPE E O PAIS DO FORRO, SOFRENDO E SALADA TUPINIQUIM;MANNIS PRODUCOES ARTISTICAS;SAO PAULO;BRASIL;62;-;IMPRESSO;-;MATERIAL DE PARTES INDIVIDUAIS PARA ORQUESTRA TAMBEM FOI CONFECCIONADO.;0
