CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;NM_AUTOR_TRADUZIDO;NM_TITULO;DS_IDIOMA;DS_IDIOMA_TRADUCAO;NM_EDITORA_TRADUCAO;NM_CIDADE;NM_PAIS;NR_EDICAO;NR_PAGINAS;NR_VOLUME;DS_FASCICULO;NR_SERIE;DS_ISBN;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957263;2;21;ARTIGO;ANNENKOV, P.;A REVOLUCAO DAS MULHERES [ORG. GRAZIELA SCHNEIDER]. BOITEMPO, 2017.;RUSSO;PORTUGUES;EDITORA 34;SAO PAULO;BRASIL;2;-;-;-;-;9788573265;IMPRESSO;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957443;2;21;ARTIGO;FIODOR DOSTOIEVSKI;PUCKIN;RUSSO;PORTUGUES;EDITORA 34;SAO PAULO;BRASIL;2;-;-;-;-;9788573265;IMPRESSO;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957455;2;21;ARTIGO;GURIEVITCH, L. IA.;OTNOCHENIE K VOPROSSU O JENSKOM IZBIRATELNOM PRAVE RUSSKOGO OBCHESTVA, ZIEMSTV I GORODOV;RUSSO;PORTUGUES;BOITEMPO;SAO PAULO;BRASIL;1;-;-;-;-;9788575595381;VARIOS;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957460;2;21;ARTIGO;DETLEV SCHTTKER;LEBENSGESCHICHTE ALS WELTGESCHICHTE BENJAMIN BERSCHREIBT RAABES ?CHRONIK DER SPERLINGSGASSE?;ALEMAO;PORTUGUES;UNIVERSIDADE FEDERAL DO PARANA REVISTA LETRAS HTTP://REVISTAS.UFPR.BR/LETRAS/ARTICLE/VIEW/48944;CURITIBA;BRASIL;-;17;95;-;-;2236-0999;MEIO DIGITAL;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957482;2;21;ARTIGO;LUCIANA IOST VINHAS;PRECISAMOS FALAR SOBRE TEMER: O ESTRANHAMENTO NA VOZ;PORTUGUES;FRANCES;UFSC;FLORIANOPOLIS;BRASIL;-;-;-;-;-;-;HIPERTEXTO;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957511;2;21;ARTIGO;KOLLONTAI, A.;K ISTORII DVIJENIA RABOTNITS V ROSSII;RUSSO;PORTUGUES;BOITEMPO;SAO PAULO;BRASIL;1;-;-;-;-;9788575595381;VARIOS;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957512;2;21;ARTIGO;KOLLONTAI, A.;BANKROTSTVO LOZUNGA GRAJDANSKOGO MIRA;RUSSO;PORTUGUES;BOITEMPO;SAO PAULO;BRASIL;1;-;-;-;-;9788575595381;VARIOS;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957513;2;21;ARTIGO;KOLLONTAI, A.;TCHTO DAL OKTIABR JENSCHINE ZAPADA;RUSSO;PORTUGUES;BOITEMPO;SAO PAULO;BRASIL;1;-;-;-;-;9788575595381;VARIOS;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957514;2;21;ARTIGO;KOLLONTAI, A.;PROFSOIUZY I RABOTNITSA;RUSSO;PORTUGUES;BOITEMPO;SAO PAULO;BRASIL;1;-;-;-;-;9788575595381;VARIOS;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957515;2;21;ARTIGO;KUVCHINSKAIA, E.;JENSCHINA I POLITIKA;RUSSO;PORTUGUES;BOITEMPO;SAO PAULO;BRASIL;1;-;-;-;-;9788575595381;VARIOS;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957524;2;21;ARTIGO;RENATA SILVEIRA DA SILVA;EXCESSO, FALTA E EXTRANHAMENTO NO DISCURSO DE AUTORREGULAMENTACAO DO CONAR;PORTUGUES;FRANCES;UFSC;FLORIANOPOLIS;BRASIL;-;-;-;-;-;-;HIPERTEXTO;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957596;2;21;LIVRO;CHARLES EXPILLY;"LE BRESIL TEL QU'IL EST, LES FEMMES ET LES MOEURS AU BRESIL";FRANCES;PORTUGUES;EDITORA CRV;CURITIBA;BRASIL;1;196;1;1;1;9788544418970;IMPRESSO;-;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957795;2;21;OUTRA;STANISLAW LEM;WYPRAWA PIERWSZA A, CZYLI ELEKTRYBALT TRURLA;POLONES;PORTUGUES;(N.T.);FLORIANOPOLIS;BRASIL;13;23;-;-;-;2177-5141;MEIO DIGITAL;HTTPS://WWW.DROPBOX.COM/S/F5FQH9TSGTWGX2F/N.T._REVISTA_LITERARIA_EM_TRADUCAO_N_13.PDF;-;0
31003010074P8;ESTUDOS DE LITERATURA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;21957848;2;21;LIVRO;VOLOCHINOV, VALENTIN;MARKSIZM E FILOSSOFIA IAZYKA;RUSSO;PORTUGUES;EDITORA 34;SAO PAULO;BRASIL;1;-;-;-;-;9788573266610;VARIOS;-;-;0
15025012070P0;LETRAS;UNIFESSPA;UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA;2017;21959913;2;21;LIVRO;PETER RICHARDS;HELSINKI;INGLES;PORTUGUES;LUMME EDITOR;SAO PAULO;BRASIL;1;200;-;-;-;8582342551;IMPRESSO;-;-;0
21001014014P0;CIENCIA POLITICA;FUFPI;FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI;2017;21983077;2;21;ARTIGO;PAULA BIGLIERI;ERNESTO LACLAU E SEU LEGADO TRANSDISCIPLINAR;ESPANHOL;PORTUGUES;INTERMEIOS;SAO PAULO;BRASIL;1;158;-;-;-;9788584990641;IMPRESSO;-;-;0
31001017089P9;ARTES VISUAIS;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;21984831;2;21;ARTIGO;MICHELLE SOMMER;ARTE&ENSAIOS 33;INGLES;PORTUGUES;PROGRAMA DE POS-GRADUACAO EM ARTES VISUAIS EBA/UFRJ;RIO DE JANEIRO - RJ;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTPS://REVISTAS.UFRJ.BR/INDEX.PHP/AE/ARTICLE/VIEW/11092/8700;-;0
31001017089P9;ARTES VISUAIS;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;21984842;2;21;ARTIGO;FRANCOIS BUCHER;ARTE & ENSAIOS N 34 - HORIZONTE DE EVENTOS;ESPANHOL;PORTUGUES;PROGRAMA DE POS-GRADUACAO EM ARTES VISUAIS/ ESCOLA DE BELAS ARTES, UFRJ;RIO DE JANEIRO - RJ;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTPS://REVISTAS.UFRJ.BR/INDEX.PHP/AE/ISSUE/VIEW/924/SHOWTOC;-;0
31001017089P9;ARTES VISUAIS;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;21985049;2;21;OUTRA;EISENSTEIN;EISENSTEIN #3;INGLES;PORTUGUES;FCRB;RIO DE JANEIRO - RJ;BRASIL;-;-;-;-;-;-;VARIOS;-;-;0
31001017089P9;ARTES VISUAIS;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;21985056;2;21;ARTIGO;HITO STEYERL / REVISAO DA TRADUCAO;IN FREE FALL: A THOUGHT EXPERIMENT ON VERTICAL PERSPECTIVE;INGLES;PORTUGUES;REVISTA ARTE E ENSAIOS;RIO DE JANEIRO;BRASIL;1;12;-;-;-;24483338;MEIO MAGNETICO;HTTPS://REVISTAS.UFRJ.BR/INDEX.PHP/AE/ISSUE/VIEW/796/SHOWTOC;-;0
31001017089P9;ARTES VISUAIS;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;21985235;2;21;ARTIGO;EISENSTEIN;EISENSTEIN #3;INGLES;PORTUGUES;FCRB;RIO DE JANEIRO - RJ;BRASIL;-;-;-;-;-;-;OUTRO;-;-;0
31001017089P9;ARTES VISUAIS;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;21985335;2;21;LIVRO;NELSON RODRIGUES;PERDOA-ME POR ME TRAIRES;PORTUGUES;PORTUGUES;LES SOLITAIRES INTEMPESTIFS;BESANCON;BRASIL;1;98;-;-;-;9782846814973;IMPRESSO;-;-;0
31001017089P9;ARTES VISUAIS;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;21985461;2;21;LIVRO;BORIS GROYS.;REVISTA POIESIS - NUMERO 29, JANEIRO - JUNHO DE 2017;INGLES;PORTUGUES;POIESIS. PUBLICACAO DO PROGRAMA DE POS-GRADUACAO EM ESTUDOS CONTEMPORANEOS DAS ARTES DA UNIVERSIDADE FEDERAL FLUMINENSE  NITEROI: PPGCA;NITEROI - RJ;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTP://WWW.POIESIS.UFF.BR/;-;0
42007011013P1;LINGISTICA APLICADA;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21989031;2;21;ARTIGO;JOAQUIM DOLZ, AUGUSTE PASQUIER, JEAN-PAUL BRONCKART;L'ACQUISITION DES DISCOURS: EMERGENCE D'UNE COMPETENCE OU APPRENTISSAGE DE CAPACITES LANGAGIRES DIVERSES?;INGLES;PORTUGUES;CENTRO UNIVERSITARIO RITTER DOS REIS  UNIRITTER;PORTO ALEGRE;BRASIL;28;-;-;-;-;21769893;MEIO DIGITAL;-;-;0
42007011013P1;LINGISTICA APLICADA;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21989452;2;21;OUTRA;JEAN-PAUL BRONCKART;LES GENRES DE TEXTE, CADRES ORGANISATEURS DE LA 'VRAIE VIE' DES SIGNES;FRANCES;PORTUGUES;MERCADO DE LETRAS;CAMPINAS;BRASIL;1;14;1;1;1;9788575914908;IMPRESSO;-;-;0
42007011016P0;PSICOLOGIA;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21997955;2;21;ARTIGO;DIVERSOS;PSYCHOTHERAPY RESEARCH;INGLES;PORTUGUES;TAYLOR & FRANCIS;OXFORD, NEW YORK, PHILADELPHIA, BOCA RATON, BOSTON, MELBOURNE, SINGAPORE, BEIJING, TOKYO, KUALA LUMPUR, STOCKHOLM, NEW DELHI AND JOHANNESBURG;BRASIL;-;-;27;2;-;1468-4381;MEIO DIGITAL;-;-;0
42007011016P0;PSICOLOGIA;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21997956;2;21;ARTIGO;DIVERSOS;PSYCHOTHERAPY RESEARCH - ISSUE 27.4;INGLES;PORTUGUES;TAYLOR & FRANCIS;OXFORD, NEW YORK, PHILADELPHIA, BOCA RATON, BOSTON, MELBOURNE, SINGAPORE, BEIJING, TOKYO, KUALA LUMPUR, STOCKHOLM, NEW DELHI AND JOHANNESBURG;BRASIL;-;-;27;4;-;1468-4381;MEIO DIGITAL;-;-;0
42007011016P0;PSICOLOGIA;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21997957;2;21;ARTIGO;DIVERSOS;PSYCHOTHERAPY RESEARCH;INGLES;PORTUGUES;TAYLOR & FRANCIS;OXFORD, NEW YORK, PHILADELPHIA, BOCA RATON, BOSTON, MELBOURNE, SINGAPORE, BEIJING, TOKYO, KUALA LUMPUR, STOCKHOLM, NEW DELHI AND JOHANNESBURG;BRASIL;-;-;27;3;-;1468-4381;MEIO DIGITAL;-;-;0
42007011033P2;DIREITO DA EMPRESA E DOS NEGOCIOS;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21998262;2;21;ARTIGO;RUTHERFORD H. PLATT;LEARNING FROM DISASTERS: THE SYNERGY OF LAW AND GEOGRAPHY;INGLES;PORTUGUES;PRISMAS;CURITIBA;BRASIL;1;29;1;-;-;9788555075452;IMPRESSO;HTTP://WWW.EDITORAPRISMAS.COM.BR/PRODUTO/7892347/ESTUDOS-APROFUNDADOS-EM-DIREITO-DOS-DESASTRES---INTERFACES-COMPARADAS;-;0
42007011033P2;DIREITO DA EMPRESA E DOS NEGOCIOS;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21998320;2;21;ARTIGO;KENNETH S. ABRAHAM;CATASTROPHIC OIL SPILLS AND THE PROBLEM OF INSURANCE;INGLES;PORTUGUES;PRISMAS;CURITIBA;BRASIL;1;29;-;-;-;9788555075452;IMPRESSO;HTTP://WWW.EDITORAPRISMAS.COM.BR/PRODUTO/7892347/ESTUDOS-APROFUNDADOS-EM-DIREITO-DOS-DESASTRES---INTERFACES-COMPARADAS;-;0
42007011033P2;DIREITO DA EMPRESA E DOS NEGOCIOS;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21998347;2;21;ARTIGO;ROBERT R. M. VERCHICK;DISASTER JUSTICE: THE GEOGRAPHY OF HUMAN CAPABILITY;INGLES;PORTUGUES;PRISMAS;CURITIBA;BRASIL;1;52;1;-;-;9788555075452;IMPRESSO;HTTP://WWW.EDITORAPRISMAS.COM.BR/PRODUTO/7892347/ESTUDOS-APROFUNDADOS-EM-DIREITO-DOS-DESASTRES---INTERFACES-COMPARADAS;-;0
42007011033P2;DIREITO DA EMPRESA E DOS NEGOCIOS;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21998371;2;21;ARTIGO;DANIEL A. FARBER;NAVIGATING THE INTERSECTION OF ENVIRONMENTAL LAW AND DISASTER LAW;INGLES;PORTUGUES;PRISMAS;CURITIBA;BRASIL;1;34;1;-;-;9788555075452;IMPRESSO;HTTP://WWW.EDITORAPRISMAS.COM.BR/PRODUTO/7892347/ESTUDOS-APROFUNDADOS-EM-DIREITO-DOS-DESASTRES---INTERFACES-COMPARADAS;-;0
42007011033P2;DIREITO DA EMPRESA E DOS NEGOCIOS;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;2017;21998384;2;21;ARTIGO;CLIFFORD J. VILLA;LAW AND LAWYERS IN THE INCIDENT COMMAND SYSTEM;INGLES;PORTUGUES;PRISMAS;CURITIBA;BRASIL;1;39;1;-;-;9788555075452;IMPRESSO;HTTP://WWW.EDITORAPRISMAS.COM.BR/PRODUTO/7892347/ESTUDOS-APROFUNDADOS-EM-DIREITO-DOS-DESASTRES---INTERFACES-COMPARADAS;-;0
